Ind_ID,label,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members
5008827,1,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,365243,1,0,0,0,,2
5009744,1,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,,2
5009746,1,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,,-586,1,1,1,0,,2
5009749,1,F,Y,N,0,,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,,2
5009752,1,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,,2
5009753,1,,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,,2
5009754,1,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,,2
5009894,1,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22134.0,365243,1,0,0,0,,2
5010864,1,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173.0,-678,1,0,1,1,Core staff,3
5010868,1,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18173.0,-678,1,0,1,1,Core staff,3
5010869,1,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18173.0,-678,1,0,1,1,Core staff,1
5018498,1,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18950.0,-1002,1,1,1,0,Cooking staff,2
5018501,1,F,Y,Y,0,,Working,Secondary / secondary special,Married,House / apartment,-18950.0,-1002,1,1,1,0,Cooking staff,2
5018503,1,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18950.0,-1002,1,1,1,0,Cooking staff,2
5021303,1,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,-8907.0,-913,1,0,0,1,,3
5021310,1,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896.0,-248,1,0,0,0,Laborers,2
5021314,1,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16896.0,-248,1,0,0,0,Laborers,2
5021430,1,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-18907.0,-2470,1,0,0,0,Sales staff,1
5021431,1,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-18907.0,-2470,1,0,0,0,Sales staff,1
5021998,1,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18863.0,-1644,1,0,0,1,,2
5022053,1,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,-12811.0,-4327,1,0,0,0,,1
5022617,1,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12022.0,-1674,1,0,0,1,Laborers,2
5023781,1,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-17800.0,-1086,1,0,0,0,Accountants,2
5023831,1,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12135.0,-925,1,0,0,0,Sales staff,4
5024071,1,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-15976.0,-854,1,0,0,0,Laborers,2
5024213,1,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-15702.0,-185,1,0,1,0,,2
5024916,1,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21832.0,365243,1,0,1,0,,2
5024917,1,F,N,Y,0,,Pensioner,Secondary / secondary special,Married,House / apartment,-21832.0,365243,1,0,1,0,,2
5025127,1,,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-11111.0,-3350,1,0,0,0,High skill tech staff,2
5028580,1,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-19996.0,-691,1,0,0,0,Managers,2
5029028,1,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,-12026.0,-4770,1,0,0,0,Cleaning staff,2
5029311,1,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21876.0,365243,1,0,1,1,,2
5033453,1,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,-10749.0,-2394,1,0,0,0,Laborers,1
5033514,1,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15952.0,-384,1,1,0,0,Sales staff,3
